"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Northwest Territories","2016A000261","Unclassified occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105683626","13.12.6.1","","..","","","0"
"2023-01","Northwest Territories","2016A000261","Unclassified occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105683629","13.12.7.1","","..","","","0"
"2023-01","Northwest Territories","2016A000261","Unclassified occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105683638","13.12.10.1","","..","","","0"
"2023-01","Northwest Territories","2016A000261","Unclassified occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v105683644","13.12.12.1","","..","","","0"
"2023-01","Northwest Territories","2016A000261","Unclassified occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105683647","13.12.13.1","","..","","","0"
"2023-01","Nunavut","2016A000262","Total, all occupations","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105683752","14.1.4.1","640","C","","","0"
"2023-01","Nunavut","2016A000262","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v105683755","14.1.5.1","185","E","","","0"
"2023-01","Nunavut","2016A000262","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105683758","14.1.6.1","215","D","","","0"
"2023-01","Nunavut","2016A000262","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105683761","14.1.7.1","105","D","","","0"
"2023-01","Nunavut","2016A000262","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105683770","14.1.10.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v105683776","14.1.12.1","25","E","","","0"
"2023-01","Nunavut","2016A000262","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105683779","14.1.13.1","100","B","","","0"
"2023-01","Nunavut","2016A000262","Management occupations [0]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105683884","14.2.4.1","","x","","","0"
